11-10-2023,3-1 Classwork Start
12-12-2023,3-1 1st Mid Portion Completes
23-10-2023,Dussehra Recess Start
28-10-2023,Dussehra Recess End
13-12-2023,3-1 1st Mid Exams Start
19-12-2023,3-1 1st Mid Exams End
23-12-2023,3-1 1st Mid Results
20-12-2023,3-1 2nd Mid Portion Starts
19-02-2024,3-1 2nd Mid Portion Completes
20-02-2024,3-1 2nd Mid Exams Start
24-02-2024,3-1 2nd Mid Exams End
26-02-2024,3-1 Lab Externals Start
02-03-2024,3-1 Lab Externals End
28-02-2024,3-1 2nd Mid Results
04-03-2024,3-1 Semester Starts
16-03-2024,3-1 Semester Ends
18-03-2024,3-2 Classwork Start
10-05-2024,3-2 1st Mid Portion Completes
13-05-2024,Summer Vacation Starts
25-05-2024,Summer Vacation Ends
27-01-2024,3-2 1st Mid Exams Start
01-06-2024,3-2 1st Mid Exams End
06-06-2024,3-2 1st Mid Results
03-06-2024,3-2 2nd Mid Portion Starts
03-08-2024,3-2 2nd Mid Portion Ends
05-08-2024,3-2 2nd Mid Exams Starts
09-08-2024,3-2 2nd Mid Exams Ends
12-08-2024,3-2 External Lab Exams Start
17-08-2024,3-2 External Lab Exams Ends
14-08-2024,3-2 2nd Mid Results
19-08-2024,3-2 Semester Starts
31-08-2024,3-2 Semester Ends
